NICKNAME,NAME,BIRTHDATE,MC_NUMBER,TLPD_ID,TLPD_DB,LIQUIPEDIA_PAGE,SC2E_ID,COUNTRY,RACE,PP_SCORE,FOREIGN_KEY1,FOREIGN_KEY2,FOREIGN_KEY3,ROMANIZED_NAME
251,MaSa,Maru Kim,1995-03-20,2,4100,2,MaSa,\N,CA,T,-0.767920966838221,39,40,6694668,
887,MilLoRd,\N,\N,2,\N,0,\N,\N,DE,Z,-1.47858099827331,113,114,6695260,\N
6355,KeSPAevryday,유기욱,\N,2,\N,0,\N,\N,KR,T,-1.84775554974273,159,160,6699955,Ryoo Ki Wook
1350,RainMan,Marc Brink,\N,2,4246,2,,\N,NL,Z,-1.16085034626574,140,141,6695673,
17937,ganger,\N,\N,\N,\N,\N,\N,\N,KZ,T,-1.75718711719985,26,27,6710302,\N
496,Sasquatch,Gage DuBose,1993-10-31,2,4205,2,Sasquatch,523,US,Z,-1.16615945082203,129,130,6694903,\N
6235,ArT,Tymoteusz Makaran,\N,2,\N,0,,\N,PL,P,-1.2644510877206,72,73,6699856,
12737,danran,郭志,\N,2,\N,0,\N,\N,CN,Z,-1.72579349238272,103,104,6705545,Guo Zhi
2306,DongJu,\N,\N,2,3863,3,\N,\N,KR,T,-0.767797535247562,62,63,6696492,\N
4452,souL,Piotr Walukiewicz,\N,2,\N,\N,,\N,PL,T,-0.982480066744869,36,37,6698352,
209,Ostojiy,Christopher Ostojic,1992-11-23,2,2784,2,ostojiy,461,CA,Z,-0.636387483394042,45,46,6694627,\N
9586,Purce,\N,\N,2,\N,\N,\N,\N,IT,Z,-1.48829495851307,95,96,6702687,\N
4495,Neeb,Alex Sunderhaft,1998-02-17,2,\N,0,Neeb,\N,US,P,0.418936864174198,178,183,6698389,
7007,강지훈,\N,\N,2,\N,\N,\N,\N,KR,T,-0.760966255833993,28,29,6700503,\N
270,Delphi,Lukas Hilgers,\N,2,1577,2,Delphi,237,DE,Z,-1.23266477855555,152,153,6694686,\N
1820,sanddbox,Ryan Kemper,\N,2,4428,3,,\N,US,Z,-0.946526219692032,68,69,6696065,\N
437,Slam,劉彥呈,1990-05-10,2,2767,3,,495,TW,Z,-1.42930766704001,216,217,6694846,Liu Yancheng
4473,CLN,Colin Thornback,\N,2,\N,0,,\N,UK,Z,-1.43063008905526,114,115,6698370,\N
7942,SteAdfaSt,Dave Loose,\N,2,\N,0,,\N,CA,Z,-1.61748428370739,155,156,6701282,
1283,DS,王駿,1989-11-26,2,2540,2,DS,351,TW,S,-1.10574373576348,110,111,6695612,Wang Jun
2310,LengMo,曾理,\N,2,2819,3,\N,\N,CN,T,-1.01869397098124,72,73,6696495,Zeng Li
9877,Mamba,Alwin Hauser,\N,2,\N,0,,\N,CH,Z,-1.30178213334906,115,116,6702950,
5084,SmelC,Clément Tourné\t,\N,2,\N,\N,,\N,FR,Z,-1.52825109299238,122,123,6698917,
1478,hitmaN,고인빈,1992-12-01,2,3390,3,HitmaN,\N,KR,Z,-0.877670328777488,67,68,6695785,Koh In Bin
2251,gaulzi,Guðlaugur Árnason,1986-10-11,2,4866,3,\N,\N,IS,P,-1.50614465398568,139,140,6696448,\N
7554,RuinBlaster,Davide Zappala,\N,2,\N,\N,,\N,IT,T,-1.64979154523601,136,137,6700930,\N
18301,이불속으로오,\N,\N,2,\N,\N,\N,\N,KR,R,-1.58490889380466,28,29,6710655,\N
4512,ShaGGy,Tom Raeymaekers,\N,2,\N,0,\N,\N,BE,Z,-1.37835221993127,98,99,6698405,\N
218,GuineaPig,김현태,1993-10-09,2,1852,3,\N,145,KR,P,-0.525369571427018,53,54,6694636,Kim Hyun Tae
196,HaNfy,Fabian Kattner,1989-08-14,2,2515,2,Hanfy,463,DE,Z,-1.10360909326563,227,228,6694614,\N
